,Name,Location,Telephone
103,MENEKŞE PLAJI,Menekşe Plajı / KÜÇÜKÇEKMECE,T. 
104,MİMARSİNAN İTFAİYE İSTASYONU,Merkez Mah Hürriyet Cad. Dağarcık Sok. No:48/1 Mimarsinan Büyükçekmece/İSTANBUL,T. 0 (212) 881 13 66
105,ORHANLI İTFAİYE İSTASYONU,Mescit Mah.Fettah Başaran Cd. Göl Sk. Orhanlı Tuzla/ISTANBUL,T. 0 (216) 394 83 37
106,ORMANLI PLAJI,Ormanlı Plajı / ÇATALCA,T. 
107,ORTAKÖY İTFAİYE İSTASYONU,Arnavutköy Mah. Kireçhane Sok. No:34 Beşiktaş/İSTANBUL,T. 0 (212) 265 13 34
108,ORUÇOĞLU MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Oruçoğlu Mahallesi / YENİDOĞAN,T. 0 (532) 777 21 90
109,OSMANKÖY MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Osmanköy Mahallesi / ŞİLE,T. 0 (532) 735 68 46
110,ÖMERLİ İTFAİYE İSTASYONU,Ömerli Mh. Ömerli Cd. No:113 Çekmeköy/ISTANBUL,T. 0 (216) 435 80 36
111,ÖRENCİK MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Örencik Mahallesi / ÇATALCA,T. 0 (532) 401 78 77
112,PENDİK İTFAİYE İSTASYONU,Bahçelievler Mah. Adnan Menderes Bulvarı No:45 Pendik/İSTANBUL,T. 0 (216) 390 96 68
113,POYRAZKÖY MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Poyrazköy Mahallesi / BEYKOZ,T. 0 (541) 346 51 56
114,RESNELİ İTFAİYE İSTASYONU,Kayabaşı Altınşehir Cad. Üzeri Parlayıcı-Patlayıcı Depolar Müd. Kayabaşı/ ISTANBUL,T. 0 (212) 687 33 61
115,RİVA 3.KÖPRÜ İSTASYONU,Ali Bahadır Mah.Yavuz Sultan Selim Köprü Üzeri Riva Gişeleri Girişi / BEYKOZ,T. 0 (532) 579 20 11
116,RİVA ELMASBURNU PLAJI,Riva Elmasburnu / BEYKOZ,T. 
117,RİVA M.Y.O PLAJI,Riva M.Y.O Plajı / BEYKOZ,T. 
118,RİVA MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Riva Mahallesi / BEYKOZ,T. 0 (216) 741 43 03
119,RİVA MERKEZ PLAJI,Merkez / Riva / BEYKOZ,T. 
120,RUMELİFENERİ MAHALLESİ GÖNÜLLÜ İTFAİYE İSTASYONU,Rumelifeneri Mahallesi / SARIYER,T. 0 (533) 394 50 10
121,SADABAD İTFAİYE İSTASYONU,Mehmet Akif Ersoy Mah. İmrahor Cad. Dolapdere Maçka Tünel Girişi Kağıthane/ ISTANBUL,T. 0 (212) 221 96 99
122,SAĞMALCILAR İTFAİYE İSTASYONU,Orta Mah. Tümer Sok. No:5 Bayrampaşa/İSTANBUL,T. 0 (212)  613 93 39
123,SAHİLKÖY PLAJI,Sahilköy Plajı / ŞİLE,T. 
124,SARIYER İTFAİYE İSTASYONU,Büyükdere Mah. Çayırbaşı Maltızdere Sok. No:15 Sarıyer/İSTANBUL,T. 0 (212) 242 18 61
125,SEDEF ADASI GÖNÜLLÜ İTFAİYE İSTASYONU,Sedef Adası / ADALAR,T. 0 (216) 382 47 41
126,SEFAKÖY İTFAİYE İSTASYONU,Inönü Mah. Istiklal Cad. Bayraktar Sk. No:57 Halkalı Küçükçekmece/ ISTANBUL,T. 0 (212) 471 34 81
127,SELİMPAŞA İTFAİYE İSTASYONU,Merkez Mah. 6095. Sok. No:4 Selimpaşa Silivri/İSTANBUL,T. 0 (212) 731 58 40
128,SELİMPAŞA PLAJI,Selimpaşa Plajı / SİLİVRİ,T. 
129,SEMİZKUM PLAJI,Semizkum Plajı / SİLİVRİ,T. 
130,SEYRANTEPE İTFAİYE İSTASYONU,Seyrantepe Mah. Karaosmanoğlu Cad. 700. Yıl Park Yanı Seyrantepe Kagıthane/ISTANBUL,T. 0 (212) 283 44 44
131,SİLİVRİ İTFAİYE İSTASYONU,Yeni Mah. General Ali Ihsan Türkay Cad. No:24 Silivri/ ISTANBUL,T. 0 (212) 727 87 36
132,SİLİVRİ PLAJI,Merkez / SİLİVRİ,T. 
133,SİYAVUŞPAŞA İTFAİYE İSTASYONU,Siyavuşpaşa Mah. Saray Cad. Muhtarlık Yanı Bahçelievler/ ISTANBUL,T. 0 (212) 642 16 77
134,SOFULAR PLAJI,Sofular Plasjı / ŞİLE,T. 
135,SULTANBEYLİ İTFAİYE İSTASYONU,Mehmet Akif Mah. Atatürk Cad. Mustazaf Sok. No.1 Sultanbeyli/İSTANBUL,T. 0 (216) 419 05 97
